regine,wood_din_µg/l,wood_totn_µg/l,wood_tdp_µg/l,wood_totp_µg/l,wood_toc_mg/l,upland_din_µg/l,upland_totn_µg/l,upland_tdp_µg/l,upland_totp_µg/l,upland_toc_mg/l,wood_ton_µg/l,wood_tpp_µg/l,upland_ton_µg/l,upland_tpp_µg/l
002.21,89.0,467.3,1.6,10.0,19.0,67.4,305.1,1.9,7.6,10.0,378.3,8.4,237.70000000000002,5.699999999999999
002.220,90.1,462.9,1.7,9.9,18.6,67.1,304.6,1.9,7.5,10.0,372.79999999999995,8.200000000000001,237.50000000000003,5.6
002.22Z,90.0,461.7,1.7,10.0,18.6,66.0,303.3,1.9,7.5,10.0,371.7,8.3,237.3,5.6
002.2A,88.7,465.2,1.7,10.1,18.9,65.6,302.9,1.9,7.6,10.0,376.5,8.4,237.29999999999998,5.699999999999999
002.2B,89.9,460.6,1.8,10.0,18.5,65.1,302.1,1.9,7.5,10.0,370.70000000000005,8.2,237.00000000000003,5.6
002.2C,89.1,462.0,1.8,10.1,18.7,64.2,301.1,1.9,7.6,10.0,372.9,8.299999999999999,236.90000000000003,5.699999999999999
002.2D,89.3,460.5,1.9,10.2,18.6,63.1,299.6,1.9,7.6,9.9,371.2,8.299999999999999,236.50000000000003,5.699999999999999
002.31,91.2,459.5,1.7,9.8,18.4,67.2,304.6,1.9,7.5,10.0,368.3,8.100000000000001,237.40000000000003,5.6
002.320,92.1,454.6,1.7,9.7,18.0,66.1,303.1,1.9,7.4,10.0,362.5,7.999999999999999,237.00000000000003,5.5
002.32Z,90.7,456.8,1.8,10.0,18.3,64.3,301.1,1.9,7.5,9.9,366.1,8.2,236.8,5.6
002.3Z,90.4,460.7,1.7,9.9,18.5,66.2,303.5,1.9,7.5,10.0,370.29999999999995,8.200000000000001,237.3,5.6
002.41,87.0,479.0,1.5,10.1,19.8,70.3,308.8,1.9,7.8,10.0,392.0,8.6,238.5,5.9
002.42,91.6,468.2,1.5,9.7,18.8,72.1,310.3,1.9,7.6,10.0,376.6,8.2,238.20000000000002,5.699999999999999
002.43,89.3,470.3,1.6,9.9,19.1,69.5,307.6,1.9,7.6,10.0,381.0,8.3,238.10000000000002,5.699999999999999
002.44,91.9,461.2,1.6,9.7,18.4,69.3,306.9,1.9,7.5,10.0,369.29999999999995,8.1,237.59999999999997,5.6
002.A11,88.0,468.8,1.7,10.1,19.1,66.5,304.1,1.9,7.7,10.0,380.8,8.4,237.60000000000002,5.800000000000001
002.A12,87.4,469.4,1.7,10.2,19.2,65.7,303.1,1.9,7.7,10.0,382.0,8.5,237.40000000000003,5.800000000000001
002.A21,88.4,467.8,1.7,10.1,19.0,66.6,304.2,1.9,7.6,10.0,379.4,8.4,237.6,5.699999999999999
002.A22,87.6,468.2,1.7,10.2,19.1,65.2,302.5,1.9,7.7,10.0,380.6,8.5,237.3,5.800000000000001
002.A2A,87.4,467.4,1.8,10.3,19.1,64.0,300.9,1.9,7.7,10.0,380.0,8.5,236.89999999999998,5.800000000000001
002.A2B,87.7,464.9,1.9,10.4,19.0,62.4,298.7,1.9,7.7,9.9,377.2,8.5,236.29999999999998,5.800000000000001
