regine,trans_totp,trans_tdp,trans_tpp,trans_totn,trans_din,trans_ton,trans_ss,trans_toc,ret_totp,ret_tdp,ret_tpp,ret_totn,ret_din,ret_ton,ret_ss,ret_toc
001.H2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.H3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.H4,0.890466,0.94206,0.802558,0.989196,0.985646,0.996613,0.423409,0.899097,0.109534,0.05794,0.197442,0.010804,0.014354,0.003387,0.576591,0.100903
001.J1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.J2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.J3,0.654218,0.790969,0.486124,0.888098,0.856162,0.962278,0.038252,0.735154,0.345782,0.209031,0.513876,0.111902,0.143838,0.037722,0.961748,0.264846
001.J4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.K110,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.K11A,0.893669,0.943849,0.807777,0.968959,0.959035,0.990132,0.439732,0.901486,0.106331,0.056151,0.192223,0.031041,0.040965,0.009868,0.560268,0.098514
001.K11B,0.385605,0.556587,0.238854,0.496947,0.425584,0.760495,0.004358,0.534487,0.614395,0.443413,0.761146,0.503053,0.574416,0.239505,0.995642,0.465513
001.K11C,0.210119,0.428734,0.065606,0.509066,0.416135,0.800155,4e-06,0.30627,0.789881,0.571266,0.934394,0.490934,0.583865,0.199845,0.999996,0.69373
001.K12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.K1Z,0.569333,0.74776,0.345375,0.905799,0.876975,0.969381,0.016376,0.597942,0.430667,0.25224,0.654625,0.094201,0.123025,0.030619,0.983624,0.402058
001.K2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.K3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.K41,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.K42,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.K4A,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001.K4B,0.523321,0.687079,0.35439,0.736409,0.676931,0.899799,0.013215,0.642333,0.476679,0.312921,0.64561,0.263591,0.323069,0.100201,0.986785,0.357667
001.K4C,0.347918,0.560911,0.161833,0.579843,0.495478,0.832401,0.00025,0.455776,0.652082,0.439089,0.838167,0.420157,0.504522,0.167599,0.99975,0.544224
001.L,0.514462,0.679399,0.346313,0.71118,0.648725,0.887826,0.012321,0.635785,0.485538,0.320601,0.653687,0.28882,0.351275,0.112174,0.987679,0.364215
001.M,0.442549,0.647781,0.231263,0.796391,0.741412,0.929525,0.001612,0.518096,0.557451,0.352219,0.768737,0.203609,0.258588,0.070475,0.998388,0.481904
002.1110,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002.111Z,0.917883,0.957184,0.848229,0.981112,0.974973,0.994046,0.581283,0.919972,0.082117,0.042816,0.151771,0.018888,0.025027,0.005954,0.418717,0.080028
002.1120,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002.112Z,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002.1130,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002.113Z,0.853708,0.921081,0.744755,0.969988,0.96038,0.990466,0.274512,0.872362,0.146292,0.078919,0.255245,0.030012,0.03962,0.009534,0.725488,0.127638
002.114,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002.1150,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002.115Z,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002.1161,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002.1162,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002.1163,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002.116Z,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002.1170,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002.117Z,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002.1180,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002.118Z,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002.1190,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
