N°,Reference,Name,Type,Period,Location,z,tau,RTN,RDIN,LTN,LDIN,LDIN/LTN,CTP,TN/TP,rho,LDON,LTN_out,LDIN_out,LDON_out,RDON
59,Persson 2003,Gunillajaure+N+P,Lake,1979,Sweden,6.0,1.5,0.36,,7.0,,,40.0,3.0,0.6666666666666666,,4.48,,,
60,Persson 2003,Hjälmaren,Lake,1981-1985,Sweden,6.1,3.4,0.77,,6.0,,,46.0,17.0,0.29411764705882354,,1.38,,,
61,Persson 2003,Hornborgasjön,Lake,1984-1996,Sweden,0.8,0.2,0.43,,20.0,,,30.0,53.0,5.0,,11.400000000000002,,,
62,Persson 2003,Hymenjaure N + P,Lake,1979,Sweden,1.3,0.2,0.43,,4.0,,,70.0,7.0,5.0,,2.2800000000000002,,,
63,Persson 2003,Ivösjön,Lake,1990-1993,Sweden,10.7,1.9,0.57,,7.0,,,14.0,57.0,0.5263157894736842,,3.0100000000000002,,,
64,Persson 2003,Kalvsjön,Lake,1974,Sweden,6.2,0.3,0.07,,16.0,,,12.0,42.0,3.3333333333333335,,14.879999999999999,,,
65,Persson 2003,Limmaren,Lake,1991-1992,Sweden,4.6,3.0,0.37,,2.0,,,80.0,18.0,0.3333333333333333,,1.26,,,
66,Persson 2003,Magnusjaure+N,Lake,1974,Sweden,2.2,0.2,0.35,,4.0,,,4.0,100.0,5.0,,2.6,,,
67,Persson 2003,Mälaren A,Lake,1981-1985,Sweden,3.4,0.1,0.05,,60.0,,,48.0,13.0,10.0,,57.0,,,
68,Persson 2003,Mälaren C,Lake,1981-1985,Sweden,16.9,1.8,0.42,,14.0,,,29.0,14.0,0.5555555555555556,,8.120000000000001,,,
69,Persson 2003,Mälaren D,Lake,1981-1985,Sweden,11.5,1.2,0.31,,27.0,,,60.0,14.0,0.8333333333333334,,18.63,,,
70,Persson 2003,Mjörn,Lake,1990,Sweden,15.0,1.4,0.38,,15.0,,,14.0,68.0,0.7142857142857143,,9.3,,,
71,Persson 2003,Norrviken 1,Lake,1961-1962,Sweden,5.4,0.6,0.25,,67.0,,,260.0,13.0,1.6666666666666667,,50.25,,,
72,Persson 2003,Norrviken 2,Lake,1972,Sweden,5.4,0.9,0.21,,7.0,,,210.0,12.0,1.1111111111111112,,5.53,,,
73,Persson 2003,Ö. Ringsjön+Sät 1,Lake,1980,Sweden,5.6,0.8,0.44,,33.0,,,200.0,11.0,1.25,,18.48,,,
74,Persson 2003,Ö. Ringsjön+Sät 2,Lake,1990,Sweden,5.6,0.8,0.62,,24.0,,,60.0,28.0,1.25,,9.120000000000001,,,
75,Persson 2003,Ö. Storsjön,Lake,1991-1996,Sweden,31.5,0.2,0.23,,14.0,,,45.0,16.0,5.0,,10.780000000000001,,,
76,Persson 2003,Oppmannasjön,Lake,1989-1990,Sweden,3.9,2.2,0.9,,8.0,,,32.0,31.0,0.45454545454545453,,0.7999999999999998,,,
77,Persson 2003,Oxundasjön,Lake,1972,Sweden,3.3,0.1,0.24,,42.0,,,140.0,12.0,10.0,,31.92,,,
78,Persson 2003,Ralången,Lake,1989-1990,Sweden,2.4,0.1,0.11,,32.0,,,50.0,24.0,10.0,,28.48,,,
79,Persson 2003,Ramsjön,Lake,1974,Sweden,1.8,0.2,0.63,,27.0,,,300.0,7.0,5.0,,9.99,,,
80,Persson 2003,Ringsjön,Lake,1980,Sweden,4.7,1.1,0.68,,25.0,,,200.0,12.0,0.9090909090909091,,7.999999999999999,,,
81,Persson 2003,Ringsjön,Lake,1991,Sweden,4.7,1.1,0.71,,20.0,,,75.0,17.0,0.9090909090909091,,5.800000000000001,,,
82,Persson 2003,Roxen,Lake,1985-1989,Sweden,5.0,0.2,0.16,,33.0,,,30.0,23.0,5.0,,27.72,,,
83,Persson 2003,Rusken,Lake,1985-1989,Sweden,3.5,0.5,0.41,,11.0,,,,,2.0,,6.490000000000001,,,
84,Persson 2003,Ryssbysjön,Lake,1974,Sweden,1.8,0.1,0.59,,43.0,,,200.0,8.0,10.0,,17.630000000000003,,,
85,Persson 2003,S. Bergundasjön 1,Lake,1973,Sweden,2.4,0.6,0.2,,27.0,,,1160.0,4.0,1.6666666666666667,,21.6,,,
86,Persson 2003,Södra Barken,Lake,1978-1980,Sweden,5.7,0.1,0.06,,30.0,,,18.0,29.0,10.0,,28.2,,,
87,Persson 2003,Tåkern,Lake,1983-1996,Sweden,0.8,0.7,0.64,,5.0,,,50.0,40.0,1.4285714285714286,,1.7999999999999998,,,
88,Persson 2003,V. Ringsjön 1,Lake,1980,Sweden,3.1,0.3,0.49,,42.0,,,210.0,12.0,3.3333333333333335,,21.42,,,
89,Persson 2003,V. Ringsjön 2,Lake,1990,Sweden,3.1,0.3,0.45,,21.0,,,70.0,21.0,3.3333333333333335,,11.55,,,
90,Persson 2003,V. Storsjön,Lake,1991-1996,Sweden,4.5,0.7,0.54,,5.0,,,45.0,10.0,1.4285714285714286,,2.3,,,
91,Persson 2003,Vänern,Lake,1982-1992,Sweden,27.0,9.3,0.3,,4.0,,,9.0,97.0,0.1075268817204301,,2.8,,,
92,Persson 2003,Väsman,Lake,1978-1980,Sweden,10.6,1.2,0.12,,5.0,,,15.0,32.0,0.8333333333333334,,4.4,,,
93,Persson 2003,Vättern,Lake,1975-1985,Sweden,40.0,60.0,0.47,,2.0,,,7.0,106.0,0.016666666666666666,,1.06,,,
94,Persson 2003,Vidöstern,Lake,1990-1998,Sweden,4.4,0.5,0.22,,12.0,,,17.0,33.0,2.0,,9.36,,,
94,Rowe et al. 2014,Michigan,Lake,1994-2008,USA,85.0,99.0,0.86,,2.0,,,5.0,90.0,0.010101010101010102,,0.28,,,
95,Salas and Martino 1991,Chapala,Lake,1983-1984,Mexico,4.2,11.1,0.91,,4.0,,,426.0,2.0,0.0900900900900901,,0.3599999999999999,,,
96,Salas and Martino 1991,Chapala,Lake,1986-1987,Mexico,4.4,15.9,0.94,,5.0,,,680.0,2.0,0.06289308176100629,,0.30000000000000027,,,
97,Salas and Martino 1991,La Plata,Lake,1981-1982,Puerto Rico,10.0,0.1,0.44,,197.0,,,220.0,5.0,10.0,,110.32000000000001,,,
98,Salas and Martino 1991,Laguna de Sonso,Lake,unknown,Colombia,1.0,0.04,0.22,,77.0,,,210.0,12.0,25.0,,60.06,,,
100,Salas and Martino 1991,Laguna Tortuguero,Lake,1974-1975,Puerto Rico,1.2,0.1,-0.04,,15.0,,,10.0,170.0,10.0,,15.600000000000001,,,
101,Salas and Martino 1991,Livingston,Lake,1975,USA,6.3,0.2,0.23,,54.0,,,20.0,80.0,5.0,,41.58,,,
102,Salas and Martino 1991,Loiza,Lake,1973-1974,Puerto Rico,6.1,0.1,0.17,,233.0,,,330.0,5.0,10.0,,193.39,,,
103,Salas and Martino 1991,Requena,Lake,1986-1987,Mexico,5.0,0.3,0.66,,98.0,,,383.0,5.0,3.3333333333333335,,33.32,,,
104,Salas and Martino 1991,Tequesquitango,Lake,1986,Mexico,16.0,98.5,0.92,,1.0,,,23.0,28.0,0.01015228426395939,,0.07999999999999996,,,
